0,1,2,3,4,5,6
1.0,40.0,40.0,0.208333333,19.79166667,1673.0,-4.527968989461478
2.0,40.0,16.66666667,5.0,38.33333333,1723.0,-3.7517984126264587
3.0,40.0,40.0,3.541666667,16.45833333,1673.0,-4.483996386410721
4.0,40.0,40.0,3.958333333,16.04166667,1773.0,-4.030156310729546
5.0,53.75,26.25,0.0,20.0,1773.0,-3.270986793353549
6.0,40.0,35.0,5.0,20.0,1673.0,-4.353461022338113
7.0,47.5,32.5,0.0,20.0,1673.0,-4.158857304848163
8.0,50.0,30.0,0.0,20.0,1773.0,-3.5228655990836435
9.0,59.25,20.75,0.0,20.0,1723.0,-3.166468149256519
10.0,40.0,40.0,4.375,15.625,1673.0,-4.4554956278545355
11.0,46.875,33.125,0.0,20.0,1673.0,-4.192417183663062
12.0,40.0,16.66666667,5.0,38.33333333,1673.0,-4.0001040189856845
13.0,40.0,40.0,0.4166666670000002,19.58333333,1723.0,-4.327233043916731
14.0,62.0,18.0,0.0,20.0,1723.0,-2.974603483653779
15.0,52.375,27.625,0.0,20.0,1673.0,-3.8917088949314653
16.0,40.0,40.0,0.833333333,19.16666667,1673.0,-4.526271588456513
17.0,40.0,23.33333333,5.0,31.66666667,1673.0,-4.134157790872241
18.0,47.5,32.5,0.0,20.0,1673.0,-4.160646292666059
19.0,40.0,20.0,5.0,35.0,1673.0,-4.067387063048158
20.0,64.75,15.25,0.0,20.0,1673.0,-3.1318306070498547
21.0,40.0,20.0,5.0,35.0,1773.0,-3.5678199157108277
22.0,62.0,18.0,0.0,20.0,1673.0,-3.308303326520592
23.0,40.0,8.333333332999999,5.0,46.66666667,1773.0,-3.3208258288507553
24.0,66.125,13.875000000000002,0.0,20.0,1723.0,-2.6796732939386714
25.0,47.5,32.5,0.0,20.0,1773.0,-3.6829134774074523
26.0,40.0,40.0,1.25,18.75,1723.0,-4.318269923600179
27.0,40.0,6.666666667,5.0,48.33333333,1673.0,-3.8269180586366933
28.0,56.25,23.75,0.0,20.0,1723.0,-3.370230271131035
29.0,40.0,18.33333333,5.0,36.66666667,1723.0,-3.7906609648303715
30.0,55.125,24.875,0.0,20.0,1673.0,-3.7331420193782456
31.0,57.5,22.5,0.0,20.0,1773.0,-3.004224899573805
32.0,51.25,28.75,0.0,20.0,1773.0,-3.4402624578492094
33.0,60.0,20.0,0.0,20.0,1673.0,-3.4350124690422073
34.0,40.0,40.0,1.25,18.75,1773.0,-4.097607038251519
35.0,40.0,41.66666667,5.0,13.33333333,1773.0,-4.013215965602658
36.0,40.0,40.0,4.166666667,15.83333333,1723.0,-4.2569972118422825
37.0,40.0,35.0,5.0,20.0,1723.0,-4.139243008314798
38.0,40.0,40.0,1.25,18.75,1773.0,-4.097545002235544
39.0,63.375,16.625,0.0,20.0,1773.0,-2.5672835437380863
40.0,53.75,26.25,0.0,20.0,1723.0,-3.535649209792648
41.0,42.5,37.5,0.0,20.0,1773.0,-3.9813612367846924
42.0,65.0,15.0,0.0,20.0,1723.0,-2.7579253829812216
43.0,40.0,40.0,0.0,20.0,1723.0,-4.3332330060963065
44.0,35.0,45.0,5.0,10.0,1723.0,-4.4720354511636415
45.0,62.0,18.0,0.0,20.0,1723.0,-2.9721447081482304
46.0,42.75,37.25,0.0,20.0,1773.0,-3.9671382634345633
47.0,40.0,40.0,5.0,15.0,1723.0,-4.2218301825644575
